number of trainable parameters: 3.27M
tensor(10.8246, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.8131, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.8045, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.7833, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.7681, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.7396, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.7341, device='cuda:0', grad_fn=<NllLossBackward0>)
training:   0%|          | 714/473591 [00:01<14:46, 533.27it/s]
tensor(10.6804, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.6702, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.6103, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.5317, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.4946, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.3899, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.3325, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.3348, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.1446, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.1655, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   0%|          | 1752/473591 [00:03<14:49, 530.57it/s]
tensor(10.0683, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.0824, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.7284, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(10.0163, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.8489, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.5942, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.4823, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.7339, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.5445, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.4548, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   1%|          | 2835/473591 [00:05<14:31, 540.11it/s]
tensor(9.1618, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.3607, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.1682, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.0510, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.7864, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.8600, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.7303, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.5782, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.7761, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(9.0038, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   1%|          | 3881/473591 [00:07<14:25, 542.54it/s]
tensor(8.3583, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.6033, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.8829, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.4097, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.1935, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.7052, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.8780, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.4618, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.9546, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   1%|          | 4980/473591 [00:09<14:31, 537.73it/s]
tensor(8.0470, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.9943, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.2733, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.9081, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.7528, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.8244, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.1933, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.0628, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.1810, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.8052, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   1%|▏         | 6059/473591 [00:11<14:28, 538.49it/s]
tensor(8.2390, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.8361, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.5636, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.5083, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.1290, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.3831, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.6508, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.5675, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.0413, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.0054, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   1%|▏         | 7103/473591 [00:13<14:33, 533.87it/s]
tensor(8.6110, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.5769, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(8.0974, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.0987, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.5492, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.2179, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.3760, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.1735, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.3157, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.5166, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   2%|▏         | 8194/473591 [00:15<14:36, 531.03it/s]
tensor(7.5988, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.5677, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.0830, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.2398, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.0644, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.2393, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.5416, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.9346, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.0792, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   2%|▏         | 9283/473591 [00:17<14:33, 531.59it/s]
tensor(7.0391, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.8014, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.3401, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.2307, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.2466, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.0231, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.6106, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.7022, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.8296, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.1281, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   2%|▏         | 10325/473591 [00:19<14:28, 533.47it/s]
tensor(6.5195, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.2497, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.5197, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.5623, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.8912, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.6924, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.9083, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.3657, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.7871, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.3183, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   2%|▏         | 11415/473591 [00:21<14:38, 525.83it/s]
tensor(6.2499, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.5762, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.6932, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.8728, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.2263, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.6897, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.4548, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.6539, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.8273, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   3%|▎         | 12483/473591 [00:23<14:30, 529.80it/s]
tensor(6.4102, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.7108, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.4235, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.5596, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.8738, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.2147, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.8537, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.6825, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.9598, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.1409, device='cuda:0', grad_fn=<NllLossBackward0>)

training:   3%|▎         | 13529/473591 [00:25<14:23, 533.03it/s]
tensor(6.8998, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.8136, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.0763, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.1937, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.4920, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(6.9944, device='cuda:0', grad_fn=<NllLossBackward0>)
tensor(7.0687, device='cuda:0', grad_fn=<NllLossBackward0>)

tensor(6.7937, device='cuda:0', grad_fn=<NllLossBackward0>)
